"State or
federal district",Location,Coordinates
North Carolina,12.7 mi (20.4 km) northwest of Sanford,35°33′21″N 79°23′16″W﻿ / ﻿35.5557°N 79.3877°W
North Dakota,2.7 mi (4.3 km) southwest of McClusky,47°27′00″N 100°27′57″W﻿ / ﻿47.4501°N 100.4659°W
Ohio,24.9 mi (40.1 km) north-northeast of Columbus,40°17′10″N 82°47′37″W﻿ / ﻿40.2862°N 82.7937°W
Oklahoma,4.4 mi (7.1 km) south of Edmond,35°35′20″N 97°29′39″W﻿ / ﻿35.5889°N 97.4943°W
Oregon,29.1 mi (46.8 km) southeast of Prineville,43°56′01″N 120°33′30″W﻿ / ﻿43.9336°N 120.5583°W
Pennsylvania,"2.7 mi (4.3 km) southwest of Bellefonte, in State College",40°52′41″N 77°47′59″W﻿ / ﻿40.8781°N 77.7996°W
Rhode Island,"2.4-mile (3.9 km) west of Crompton, in West Warwick",41°40′34″N 71°33′22″W﻿ / ﻿41.6762°N 71.5562°W
South Carolina,9.7 mi (15.6 km) southeast of Columbia,33°55′01″N 80°53′47″W﻿ / ﻿33.9169°N 80.8964°W
South Dakota,7.9 mi (12.7 km) northeast of Pierre,44°26′39″N 100°13′35″W﻿ / ﻿44.4443°N 100.2263°W
Tennessee,2.5 mi (4.0 km) northeast of Murfreesboro,35°51′29″N 86°21′02″W﻿ / ﻿35.8580°N 86.3505°W
Texas,23.6 mi (38.0 km) north of Brady,31°28′33″N 99°19′52″W﻿ / ﻿31.4757°N 99.3312°W
Utah,3.1 mi (5.0 km) northwest of Manti,39°18′20″N 111°40′13″W﻿ / ﻿39.3055°N 111.6703°W
Vermont,3.7 mi (6.0 km) southeast of Roxbury,44°04′07″N 72°39′57″W﻿ / ﻿44.0687°N 72.6658°W
Virginia,16.6 mi (26.7 km) west of Buckingham,37°31′17″N 78°51′13″W﻿ / ﻿37.5215°N 78.8537°W
Washington,7 mi (11 km) west-southwest of Wenatchee,47°22′57″N 120°26′50″W﻿ / ﻿47.3826°N 120.4472°W
West Virginia,4.9 mi (7.9 km) east-southeast of Sutton,38°38′27″N 80°37′22″W﻿ / ﻿38.6409°N 80.6227°W
Wisconsin,9.3 mi (15.0 km) east-southeast of Marshfield,44°37′27″N 89°59′39″W﻿ / ﻿44.6243°N 89.9941°W
Wyoming,60.6 mi (97.5 km) east-northeast of Lander,42°59′45″N 107°33′04″W﻿ / ﻿42.9957°N 107.5512°W
